Order_ID,Customer_Name,Email,Product_ID,Product_Category,Quantity,Unit_Price,Shipping_Cost,Payment_Method,Delivery_Status,Order_Date
ORD-1194,Neha!!,,P 400,Fashion,1,166.45,,Paypal,Delivered,06-04-2023
ORD-1329,Rohit,test@yahoo.com,P 400,Home & Kitchen,10,348.14,,,Cancelled,13-07-2023
ORD-1216,Rohit,wrong@email@.com,,Fashion,1,190.27,,Cash on Delivery,Delivered,28-09-2023
ORD-1139,Rohit,test@yahoo.com,P 400,Fashion,5,284.03,,Paypal,Cancelled,17-07-2023
ORD-1635,Rahul@,,P-100@,Electronics,1,296.02,,Paypal,Pending,26-06-2023
ORD-1666,Priya,demo@outlook.com,,Fashion,1,133.18,,Net banking,,07-06-2023
ORD-1006,Ankit#,wrong@email@.com,P#200,Electronics,5,486.31,,Cash on Delivery,Delivered,07-10-2023
ORD-1726,S@nja y,user@gmail.com,,Fashion,,398.81,,Cash on Delivery,Cancelled,31-10-2023
ORD-1279,Amit$,demo@outlook.com,P 400,Electronics,2,472.77,,Net banking,Delivered,10/17/2023
ORD-1296,,demo@outlook.com,,Home & Kitchen,2,452.67,,Cash on Delivery,,06-12-2023
ORD-1778,,test@yahoo.com,P-100@,,,319.05,,Paypal,Pending,08-03-2023
 ORD-1000 ,Amit$,user@gmail.com,,Home & Kitchen,1,464.84,,Credit Card,Cancelled,04/30/2023
ORD-1974,Rahul@,user@gmail.com,P-100@,Fashion,10,89.82,,Cash on Delivery,Cancelled,03/29/2023
ORD-1433,Rohit,demo@outlook.com,P 400,Electronics,1,138.19,,Cash on Delivery,Delivered,02-07-2023
ORD-1132,Priya,user@gmail.com,P-100@,Home & Kitchen,10,70.35,,Credit Card,Pending,05-01-2023
ORD-1936,Ankit#,,P 400,,,196.4,,Credit Card,,27-04-2023
ORD-1375,Neha!!,test@yahoo.com,P-100@,Fashion,5,224.9,,Credit Card,Cancelled,25-02-2023
ORD-1037,S@nja y,wrong@email@.com,P-100@,,10,172.11,,Paypal,Delivered,11-05-2023
 ORD-1440 ,Rahul@,demo@outlook.com,P 400,Electronics,5,422.93,,Paypal,Pending,10-05-2023
ORD-1622,Ankit#,user@gmail.com,P#200,,10,210.54,,Net banking,Delivered,04-02-2023
ORD-1638,Ankit#,demo@outlook.com,P-100@,Home & Kitchen,10,176.42,,Paypal,Delivered,02-10-2023
ORD-1835,S@nja y,,P-100@,Home & Kitchen,5,294.21,,Cash on Delivery,,12/24/2023
ORD-1278,Neha!!,demo@outlook.com,P 400,Fashion,5,113.42,,Cash on Delivery,,01-07-2023
ORD-1619,,wrong@email@.com,P-100@,,2,410.99,,Cash on Delivery,Pending,26-07-2023
ORD-1221,Ankit#,,P 400,Home & Kitchen,,83.55,,Credit Card,Pending,12-06-2023
ORD-2015,Neha!!,user@gmail.com,P 400,Home & Kitchen,5,494.1,,Net banking,Delivered,05-06-2023
ORD-1322,Rohit,,,Electronics,2,397.51,,Cash on Delivery,Cancelled,06/30/2023
ORD-1967,Priya,user@gmail.com,,,10,139.42,,Credit Card,Delivered,29-07-2023
ORD-1630,S@nja y,,P-100@,Fashion,,52.48,,Credit Card,,23-02-2023
ORD-1956,Amit$,,P-100@,Home & Kitchen,10,416.96,,Paypal,Cancelled,04-10-2023
ORD-2038,Ankit#,demo@outlook.com,P#200,Electronics,10,368.09,,Paypal,Pending,01/13/2023
ORD-1085,Priya,wrong@email@.com,P_300,Electronics,2,378.05,,Net banking,,07/20/2023
ORD-1162,,,P-100@,Electronics,1,397.07,,Net banking,Delivered,27-12-2023
ORD-1502,Priya,wrong@email@.com,,Electronics,2,83.32,,Cash on Delivery,Delivered,01-08-2023
ORD-2092,Amit$,,,Electronics,,211.31,,Cash on Delivery,Cancelled,04/24/2023
ORD-1783,Priya,wrong@email@.com,,Fashion,10,102.14,,Net banking,Cancelled,19-05-2023
ORD-1123,Rahul@,test@yahoo.com,P-100@,Fashion,5,438.4,,Credit Card,Cancelled,08/14/2023
ORD-1489,Amit$,demo@outlook.com,P-100@,Electronics,10,330.48,,Paypal,Delivered,27-01-2023
ORD-1422,Rahul@,test@yahoo.com,P-100@,,2,198.9,,Paypal,Delivered,31-07-2023
ORD-1232,Rahul@,user@gmail.com,,Fashion,,78.6,,Paypal,Cancelled,06-02-2023
ORD-2119,Ankit#,wrong@email@.com,P-100@,Home & Kitchen,2,189.94,,Net banking,,17-06-2023
ORD-2031,Priya,user@gmail.com,P 400,,1,196.33,,Credit Card,,12-01-2023
ORD-1248,Ankit#,wrong@email@.com,P 400,,,378.32,,Paypal,Pending,07-06-2023
ORD-1704,Amit$,test@yahoo.com,,Fashion,1,336.9,,Net banking,Pending,09-11-2023
ORD-1397,Amit$,user@gmail.com,P_300,Home & Kitchen,1,449.25,,Credit Card,Delivered,10-10-2023
ORD-1262,S@nja y,test@yahoo.com,,Home & Kitchen,,262.5,,Net banking,,03/29/2023
ORD-2041,Amit$,demo@outlook.com,,Home & Kitchen,2,103.82,,,Pending,27-05-2023
ORD-1333,Priya,user@gmail.com,,Electronics,10,370.96,,Cash on Delivery,Cancelled,11-04-2023
ORD-1626,Rohit,,P#200,Home & Kitchen,,392.35,,Cash on Delivery,Cancelled,24-11-2023
ORD-1935,,test@yahoo.com,P 400,Electronics,5,302.57,,Net banking,Cancelled,12/20/2023
ORD-2189,Rahul@,test@yahoo.com,P_300,Fashion,,396.94,,Paypal,,07-10-2023
ORD-1610,Rahul@,wrong@email@.com,P#200,Fashion,5,272.21,,Cash on Delivery,Cancelled,30-08-2023
ORD-1229,Rohit,user@gmail.com,P_300,Home & Kitchen,1,285.23,,Cash on Delivery,Pending,23-12-2023
ORD-1608,Priya,user@gmail.com,P#200,Electronics,2,242.39,,Cash on Delivery,Cancelled,15-10-2023
ORD-1127,Priya,,P 400,Electronics,2,61.44,,Cash on Delivery,Cancelled,11-01-2023
ORD-1463,,test@yahoo.com,P_300,Fashion,10,98.55,,,Cancelled,08-12-2023
ORD-1327,S@nja y,,,Fashion,10,64.14,,Cash on Delivery,Pending,05-11-2023
ORD-1685,S@nja y,user@gmail.com,,,5,336.38,,Net banking,Delivered,17-02-2023
ORD-1952,S@nja y,,P_300,Fashion,2,191.46,,Paypal,Delivered,04/21/2023
ORD-1985,Ankit#,test@yahoo.com,,,10,278.86,,,,25-01-2023
ORD-1305,Amit$,,P 400,,1,458.4,,Net banking,Cancelled,09-07-2023
ORD-1781,Neha!!,wrong@email@.com,P 400,Fashion,10,162.18,,,Delivered,24-06-2023
ORD-1351,Priya,demo@outlook.com,,,5,234.67,,,Delivered,03-07-2023
ORD-1609,Ankit#,test@yahoo.com,,Fashion,2,390,,Cash on Delivery,Delivered,07/24/2023
 ORD-1760 ,Priya,demo@outlook.com,P 400,Home & Kitchen,,152.96,,Credit Card,,02/25/2023
ORD-1826,Rohit,user@gmail.com,P 400,,5,84.64,,Paypal,Delivered,01/20/2023
ORD-1514,Amit$,demo@outlook.com,P-100@,Fashion,1,180.39,,,Cancelled,11-04-2023
ORD-1225,Neha!!,test@yahoo.com,,Home & Kitchen,2,122.55,,Cash on Delivery,Cancelled,30-03-2023
ORD-1951,Amit$,test@yahoo.com,,Fashion,10,468.36,,Net banking,Cancelled,11-04-2023
ORD-1535,Rohit,test@yahoo.com,,,5,413.65,,Net banking,Cancelled,12/13/2023
ORD-1207,Amit$,,P#200,,2,335.03,,Cash on Delivery,Pending,12-10-2023
ORD-1470,Rohit,wrong@email@.com,,Home & Kitchen,5,442.16,,Net banking,Cancelled,15-11-2023
ORD-1879,Ankit#,demo@outlook.com,P-100@,Home & Kitchen,1,411.65,,Paypal,Delivered,20-11-2023
ORD-1538,Neha!!,,P_300,Electronics,5,133.96,,Cash on Delivery,Cancelled,02/20/2023
ORD-1288,S@nja y,user@gmail.com,P 400,Electronics,5,451.65,,Cash on Delivery,Pending,12-08-2023
 ORD-1320 ,Ankit#,test@yahoo.com,P#200,Electronics,,292.7,,,Pending,03-10-2023
ORD-1959,S@nja y,test@yahoo.com,P_300,Home & Kitchen,1,413.35,,,Delivered,09/20/2023
ORD-1331,S@nja y,user@gmail.com,P#200,,,453.24,,Net banking,Delivered,27-05-2023
ORD-1173,Ankit#,demo@outlook.com,P#200,Electronics,1,193.1,,Credit Card,Delivered,09/19/2023
ORD-1270,Rahul@,user@gmail.com,,,5,99.52,,Net banking,Pending,01-08-2023
ORD-1531,Rohit,,P 400,Electronics,10,152.57,,,Delivered,26-01-2023
ORD-1851,Rahul@,test@yahoo.com,,Fashion,2,242.2,,Cash on Delivery,Delivered,08/19/2023
ORD-1994,,demo@outlook.com,P 400,,,418.11,,Paypal,Cancelled,01/20/2023
ORD-1042,Priya,demo@outlook.com,P-100@,Home & Kitchen,1,437.33,,Credit Card,Delivered,19-12-2023
ORD-2003,Priya,test@yahoo.com,P#200,Fashion,5,53.13,,Net banking,,08-03-2023
ORD-1911,Ankit#,,P#200,,10,279.84,,Cash on Delivery,Pending,06-12-2023
ORD-1446,Rahul@,user@gmail.com,P#200,Electronics,10,237.83,,,Delivered,08-07-2023
ORD-1874,Priya,test@yahoo.com,P#200,Home & Kitchen,1,149.95,,Paypal,Cancelled,30-03-2023
ORD-1915,S@nja y,test@yahoo.com,P 400,Electronics,,103.94,,Credit Card,,25-07-2023
ORD-1217,Amit$,user@gmail.com,,Home & Kitchen,10,201.93,,Net banking,,02-01-2023
ORD-1227,Rahul@,demo@outlook.com,P 400,Fashion,2,474.31,,Credit Card,Cancelled,12/27/2023
ORD-1111,Amit$,demo@outlook.com,P_300,,10,195.44,,Paypal,Pending,08/18/2023
ORD-1335,Rahul@,demo@outlook.com,P#200,Fashion,2,283.46,,,Delivered,05/25/2023
ORD-1378,Amit$,test@yahoo.com,,Electronics,,366.36,,Net banking,Delivered,01-01-2023
ORD-1577,Amit$,user@gmail.com,P-100@,Home & Kitchen,10,213.63,,Cash on Delivery,Cancelled,23-12-2023
ORD-1835,Ankit#,user@gmail.com,P 400,Electronics,2,487.3,,Credit Card,Delivered,04-06-2023
ORD-1295,S@nja y,test@yahoo.com,P-100@,Electronics,5,483.1,,Paypal,Cancelled,09/29/2023
ORD-1031,Rahul@,demo@outlook.com,,,,163.3,,Paypal,Delivered,12/22/2023
ORD-1161,Rohit,,P_300,Electronics,10,273.76,,Paypal,Cancelled,08-11-2023
ORD-1236,,user@gmail.com,P 400,,2,185.4,,Cash on Delivery,Delivered,09-04-2023
 ORD-1860 ,Neha!!,test@yahoo.com,P 400,Fashion,5,178.18,,,Cancelled,12-05-2023
ORD-1901,Priya,user@gmail.com,P#200,Home & Kitchen,10,66.6,,Net banking,Cancelled,07-10-2023
ORD-1797,Rohit,test@yahoo.com,P 400,Home & Kitchen,5,324.3,,Credit Card,,08-01-2023
 ORD-1340 ,Ankit#,test@yahoo.com,P#200,,5,276.21,,Net banking,,14-08-2023
ORD-1565,S@nja y,demo@outlook.com,,Electronics,5,73.17,,Credit Card,Delivered,15-11-2023
ORD-1415,S@nja y,test@yahoo.com,,Fashion,2,175.39,,,Delivered,28-01-2023
ORD-1269,Priya,,P 400,Home & Kitchen,1,458.72,,Credit Card,Cancelled,03-04-2023
ORD-1931,S@nja y,wrong@email@.com,,Fashion,5,157.8,,,Delivered,18-12-2023
ORD-2139,Rahul@,test@yahoo.com,P-100@,Fashion,10,115.2,,,Cancelled,31-05-2023
ORD-1584,Ankit#,demo@outlook.com,P-100@,Fashion,,270.25,,Credit Card,Cancelled,11-07-2023
ORD-1294,Neha!!,,P 400,Fashion,5,493.54,,Paypal,Delivered,17-07-2023
ORD-1705,Rahul@,user@gmail.com,P_300,Fashion,1,158.92,,Paypal,,16-08-2023
ORD-1613,Neha!!,wrong@email@.com,,,1,352.46,,Credit Card,,07/26/2023
ORD-1902,Neha!!,demo@outlook.com,P 400,Fashion,10,392.73,,Cash on Delivery,,19-01-2023
ORD-1895,Rahul@,demo@outlook.com,P#200,Electronics,,156.94,,,Delivered,19-01-2023
ORD-1591,Neha!!,,P 400,Home & Kitchen,10,377.7,,Net banking,Cancelled,03/15/2023
ORD-1058,Neha!!,,,,5,215.5,,Paypal,,08-12-2023
ORD-1969,Neha!!,test@yahoo.com,P 400,Fashion,10,334.54,,,Cancelled,16-05-2023
ORD-1328,,wrong@email@.com,P#200,,10,335.09,,Cash on Delivery,,10-10-2023
ORD-1462,Rahul@,user@gmail.com,P_300,,,291.1,,,Cancelled,07/13/2023
ORD-2168,Ankit#,wrong@email@.com,,Fashion,2,90.63,,Net banking,Cancelled,07-08-2023
ORD-1647,Amit$,,P#200,Home & Kitchen,,425.89,,Cash on Delivery,Delivered,25-05-2023
ORD-1870,,wrong@email@.com,P#200,Fashion,,194.35,,Credit Card,,09-01-2023
ORD-1285,Rohit,,P-100@,,1,133.93,,,,17-02-2023
ORD-2188,Rohit,user@gmail.com,P#200,Home & Kitchen,5,68.35,,Cash on Delivery,Delivered,29-07-2023
ORD-1397,Amit$,user@gmail.com,P_300,Electronics,5,315.9,,Credit Card,Cancelled,08/30/2023
ORD-2008,,user@gmail.com,P-100@,Electronics,2,354.9,,Cash on Delivery,Cancelled,29-01-2023
ORD-2169,S@nja y,user@gmail.com,P#200,,10,57.46,,Paypal,Delivered,02-03-2023
ORD-2023,,,P 400,,1,280.44,,Paypal,Cancelled,28-05-2023
ORD-1132,Rohit,user@gmail.com,P 400,,,151.92,,Cash on Delivery,Cancelled,03/17/2023
ORD-1479,Rohit,demo@outlook.com,P 400,,,340.33,,Net banking,Pending,13-07-2023
ORD-2157,,test@yahoo.com,P#200,Fashion,2,128.46,,,Cancelled,09/20/2023
 ORD-1440 ,Amit$,wrong@email@.com,P-100@,,2,360.92,,Paypal,Delivered,07/18/2023
ORD-1470,Amit$,user@gmail.com,P#200,Home & Kitchen,10,224.03,,,Delivered,28-06-2023
 ORD-1580 ,S@nja y,test@yahoo.com,P 400,Electronics,,471.53,,Net banking,Cancelled,03-10-2023
ORD-1872,Priya,user@gmail.com,P 400,Home & Kitchen,5,111.88,,Paypal,Cancelled,11-07-2023
ORD-1299,Rohit,test@yahoo.com,P#200,,2,203.48,,Net banking,Pending,02-07-2023
ORD-2074,Priya,demo@outlook.com,,,1,101.06,,Credit Card,Cancelled,26-03-2023
ORD-1182,Rohit,user@gmail.com,,Electronics,10,466.11,,Paypal,Cancelled,21-10-2023
ORD-1914,S@nja y,user@gmail.com,P_300,,5,444.8,,Cash on Delivery,Delivered,24-05-2023
ORD-1006,Rohit,demo@outlook.com,,,,166.07,,Credit Card,,01-03-2023
ORD-1124,Priya,wrong@email@.com,P-100@,,2,346.99,,,Pending,03/28/2023
ORD-2182,,,P_300,Electronics,2,417.75,,,,07-05-2023
ORD-1152,Priya,test@yahoo.com,P#200,Home & Kitchen,2,299.84,,Cash on Delivery,Pending,01-10-2023
ORD-1974,Neha!!,,P#200,Fashion,1,288.34,,Paypal,Delivered,01/14/2023
ORD-1088,Priya,demo@outlook.com,P#200,,10,158.83,,Net banking,Delivered,27-12-2023
ORD-1687,Amit$,user@gmail.com,P-100@,,5,91.9,,Net banking,,05/15/2023
ORD-1046,Neha!!,test@yahoo.com,P-100@,,,453.75,,Credit Card,Delivered,18-08-2023
ORD-1206,,test@yahoo.com,P_300,Home & Kitchen,1,455.19,,,Delivered,06/16/2023
ORD-2145,Priya,,P_300,Fashion,,334.9,,Net banking,Cancelled,01-11-2023
ORD-1566,Rahul@,,,,,202.56,,Net banking,Cancelled,03/29/2023
ORD-1782,S@nja y,test@yahoo.com,P-100@,Fashion,10,207.14,,Net banking,,22-12-2023
ORD-1590,Neha!!,wrong@email@.com,P_300,Electronics,2,376.68,,Net banking,Pending,04-07-2023
ORD-1836,S@nja y,,P 400,,1,453.7,,Net banking,,06-03-2023
ORD-2064,Priya,demo@outlook.com,P 400,Fashion,5,449.19,,Credit Card,Delivered,07-11-2023
ORD-1888,Rohit,user@gmail.com,P#200,Home & Kitchen,10,400.94,,Net banking,Delivered,06/18/2023
ORD-1592,Priya,wrong@email@.com,P_300,Electronics,1,338.91,,,Pending,04/22/2023
ORD-1830,Rohit,demo@outlook.com,P_300,Home & Kitchen,1,87.86,,Net banking,Cancelled,09-10-2023
ORD-1330,Neha!!,demo@outlook.com,P 400,Electronics,10,122.73,,,Pending,09-05-2023
ORD-1262,Ankit#,user@gmail.com,P_300,Electronics,5,454.35,,Cash on Delivery,Pending,23-07-2023
ORD-1805,Neha!!,,P_300,Electronics,5,322.89,,Credit Card,Cancelled,11/28/2023
ORD-1667,S@nja y,wrong@email@.com,P-100@,,5,54.14,,Paypal,Pending,07/16/2023
ORD-1032,Ankit#,user@gmail.com,P-100@,Electronics,10,95.66,,Credit Card,Cancelled,08/27/2023
ORD-1956,Rahul@,user@gmail.com,,Electronics,5,348.58,,,Cancelled,10-04-2023
ORD-1555,Amit$,demo@outlook.com,P 400,Fashion,5,52.28,,,Cancelled,06-01-2023
ORD-1174,Priya,user@gmail.com,P#200,Electronics,,122.36,,Credit Card,Pending,30-11-2023
ORD-1416,Priya,,P_300,Home & Kitchen,2,296.93,,Net banking,Delivered,09/26/2023
ORD-1112,Ankit#,user@gmail.com,P 400,Home & Kitchen,10,361.35,,Paypal,Cancelled,14-10-2023
ORD-1119,Rohit,wrong@email@.com,P_300,,5,343.38,,Paypal,Cancelled,07-12-2023
ORD-1742,Ankit#,,P-100@,Electronics,5,150.92,,Credit Card,Cancelled,04-11-2023
ORD-1839,S@nja y,test@yahoo.com,,Electronics,10,370.48,,Credit Card,Delivered,28-08-2023
ORD-1565,,user@gmail.com,P#200,Electronics,,156.76,,Cash on Delivery,Cancelled,08-05-2023
ORD-1933,S@nja y,test@yahoo.com,P_300,Home & Kitchen,1,196.43,,Cash on Delivery,Pending,03-03-2023
 ORD-1160 ,Rahul@,demo@outlook.com,P#200,Fashion,,385.92,,Paypal,Pending,05-09-2023
ORD-1049,S@nja y,user@gmail.com,,Home & Kitchen,2,342.33,,Paypal,Cancelled,07-05-2023
ORD-1378,Rohit,user@gmail.com,P-100@,Electronics,2,432.15,,Paypal,Delivered,03-07-2023
 ORD-1900 ,S@nja y,user@gmail.com,P#200,Fashion,,345.93,,Cash on Delivery,Cancelled,04-11-2023
ORD-2121,Rahul@,demo@outlook.com,,Fashion,2,305.74,,Cash on Delivery,Delivered,07-12-2023
ORD-1410,Neha!!,,P 400,Electronics,10,92.15,,Cash on Delivery,,10/14/2023
ORD-2088,Rahul@,demo@outlook.com,P#200,Home & Kitchen,1,215.47,,,Pending,21-08-2023
ORD-1349,Amit$,,P-100@,Electronics,1,169.34,,Cash on Delivery,,10-01-2023
ORD-1534,Ankit#,wrong@email@.com,P-100@,Home & Kitchen,5,159.8,,,Cancelled,01-01-2023
ORD-1185,Neha!!,,P-100@,,,487.85,,Paypal,Cancelled,01/16/2023
ORD-1527,Rahul@,test@yahoo.com,P#200,Fashion,10,226.89,,Paypal,Delivered,02-06-2023
ORD-1475,Rahul@,user@gmail.com,P#200,Fashion,5,451.42,,Net banking,Delivered,10-03-2023
ORD-1958,Rahul@,demo@outlook.com,,Fashion,5,334.01,,Cash on Delivery,Cancelled,01/31/2023
ORD-1558,Priya,demo@outlook.com,P 400,Home & Kitchen,10,407.67,,Cash on Delivery,Cancelled,01/15/2023
ORD-2045,,wrong@email@.com,P 400,Electronics,5,276.19,,Net banking,,03-11-2023
ORD-1453,Priya,user@gmail.com,P#200,Electronics,5,309.61,,,Cancelled,16-03-2023
ORD-1112,Neha!!,demo@outlook.com,P-100@,Home & Kitchen,,271.63,,Paypal,Cancelled,07/15/2023
ORD-1628,,test@yahoo.com,P_300,Home & Kitchen,1,137.86,,Cash on Delivery,Delivered,31-01-2023
 ORD-1960 ,Rohit,test@yahoo.com,P#200,Home & Kitchen,5,375.1,,Net banking,Pending,29-09-2023
ORD-1769,Rahul@,wrong@email@.com,P-100@,,5,176.35,,,,04/18/2023
ORD-1463,,,P 400,Home & Kitchen,10,60.94,,,Pending,18-04-2023
ORD-1851,Ankit#,demo@outlook.com,P-100@,,1,340.46,,Paypal,Cancelled,11/13/2023
ORD-1699,Amit$,user@gmail.com,P_300,,2,129.7,,Credit Card,,30-10-2023
ORD-1852,Neha!!,test@yahoo.com,P 400,,1,473.21,,Credit Card,,08/18/2023
ORD-1567,Rahul@,wrong@email@.com,P_300,Electronics,2,479.27,,Credit Card,Delivered,11-05-2023
ORD-1857,Priya,demo@outlook.com,P 400,Fashion,10,461.69,,,Delivered,24-04-2023
ORD-2179,,wrong@email@.com,P 400,Home & Kitchen,5,216.57,,,Cancelled,04/24/2023
ORD-1154,,user@gmail.com,P_300,Home & Kitchen,2,56.96,,Paypal,Cancelled,04-11-2023
ORD-1513,,,,,10,467.74,,Net banking,Delivered,08/24/2023
ORD-2166,Rohit,test@yahoo.com,P-100@,,,242.68,,Cash on Delivery,Pending,03-01-2023
ORD-2091,Neha!!,test@yahoo.com,P 400,Fashion,10,484.99,,Credit Card,Pending,01-05-2023
ORD-1549,Rahul@,demo@outlook.com,P#200,,,483.63,,Credit Card,Cancelled,01/28/2023
ORD-1416,,test@yahoo.com,P#200,Electronics,5,433.85,,Paypal,Cancelled,06/26/2023
ORD-1197,S@nja y,user@gmail.com,P 400,,2,182.5,,Net banking,Pending,04/23/2023
ORD-1391,Neha!!,user@gmail.com,P_300,Home & Kitchen,2,223.29,,Net banking,,06/18/2023
ORD-1406,Rohit,,P-100@,Home & Kitchen,2,433.01,,Cash on Delivery,Cancelled,10-08-2023
ORD-1201,,,,,10,192.61,,,Delivered,12-03-2023
ORD-1099,Priya,user@gmail.com,P-100@,Fashion,1,126.27,,Paypal,,08-07-2023
ORD-1901,,wrong@email@.com,,Fashion,10,300.56,,,Delivered,03/17/2023
ORD-1117,Priya,demo@outlook.com,,Electronics,2,471.27,,Cash on Delivery,,03-12-2023
ORD-1707,Rahul@,user@gmail.com,,Electronics,1,363.21,,,Pending,29-11-2023
ORD-1942,S@nja y,,P 400,Fashion,5,306.53,,Cash on Delivery,Pending,07/27/2023
ORD-1455,Priya,user@gmail.com,P_300,Home & Kitchen,10,93.73,,Credit Card,Cancelled,01-05-2023
ORD-1325,,,P_300,Electronics,5,326.75,,Cash on Delivery,Delivered,10/14/2023
ORD-1104,S@nja y,test@yahoo.com,P_300,Electronics,1,495.52,,Credit Card,Pending,03-09-2023
ORD-1669,Rahul@,user@gmail.com,P 400,Fashion,1,113.04,,Credit Card,Cancelled,04/29/2023
ORD-1865,Rohit,demo@outlook.com,P#200,Fashion,2,283.25,,,Cancelled,25-03-2023
ORD-1843,,demo@outlook.com,P 400,Electronics,,444.82,,Cash on Delivery,,11-11-2023
ORD-1901,S@nja y,test@yahoo.com,,Electronics,,383.35,,Credit Card,,07/18/2023
 ORD-1560 ,Rohit,wrong@email@.com,P_300,Electronics,1,363.66,,,Pending,02/22/2023
ORD-1486,Ankit#,demo@outlook.com,P 400,Fashion,1,366.12,,Net banking,Pending,01/29/2023
ORD-2192,Rohit,test@yahoo.com,,,2,211.77,,Credit Card,Cancelled,02-12-2023
ORD-1890,,,P_300,Fashion,2,182.12,,Cash on Delivery,Pending,04-11-2023
